church,community,denomination,link_1,link_2,link_3,Link,parse
First Baptist Church Union Point,Union Point,Baptist Church,https://www.youtube.com/watch?v=FtnxdffQrT4,https://www.youtube.com/watch?v=czYiZOlVzfc,https://www.youtube.com/watch?v=ahCBIYqKjvY,https://www.youtube.com/channel/UCKeNNbjzPhi6ytmVum7okYA,y
Celebration Baptist Church,North of Greensboro,Baptist Church,https://www.facebook.com/1023826584430201/videos/782773328935454,https://www.facebook.com/1023826584430201/videos/3168517376570505,https://www.facebook.com/1023826584430201/videos/674387279776590,https://www.facebook.com/celebrationbaptistministries/videos/?ref=page_internal,y
Union Point Worship Center,Union Point,Pentecostal,https://www.youtube.com/watch?v=lbypgvgwds4,https://www.youtube.com/watch?v=GWxLds7jwyc,https://www.youtube.com/watch?v=nXlE3FmFZk8,https://upworshipcenter.wordpress.com/online-services/,y
Wesley Chapel Wesleyan Church,Greensboro,Wesleyan,https://www.facebook.com/100265271744828/videos/186413299994700,https://www.facebook.com/100265271744828/videos/732772327404511,https://www.facebook.com/100265271744828/videos/181493657149214,https://www.facebook.com/Wesley-Chapel-Wesleyan-Church-100265271744828/,y
Shiloh Baptist Church,North of Greensboro,Baptist,,,,https://www.facebook.com/greensboroshilohbaptistchurch/,n
Fork Chapel,Greshamville,United Methodist Church,,,,https://www.forkchapelumc.org/?post_type=wpfc_sermon,n
Freedom Worship Center,Greshamville,Non-Denominational,,,,https://www.facebook.com/holyrevive/,n
New Hope Baptist Church,Greshamville,Baptist,,,,https://www.youtube.com/channel/UC5a14O1XEpg60Gipmt2qvig/videos,n
Bethel Baptist Church,Union Point,Baptist,,,,https://www.bethelbaptistchurchinfo.org/media.html,n
Walker United Methodist Church,"South of Greensboro, north of lake",United Methodist Church,,,,http://www.walkerchurch.com/sermons,n
Liberty United Methodist Church,Liberty,United Methodist Church,,,,https://www.youtube.com/channel/UCLJOtUlLI6NE-52OHTcDcBg/videos,n
